feature_id,description,variable_type,data_source,ukb_field,selected_by
Total_TG,Total-TG (Triglycerides),continuous,Plasma metabolome (Nightingale NMR),,MWAS
VLDL_C,VLDL-C (Cholesterol),continuous,Plasma metabolome (Nightingale NMR),,MWAS
VLDL_FC_pct_C,VLDL-FC %-C (Cholesterol),continuous,Plasma metabolome (Nightingale NMR),,MWAS
Val,Val (Amino acids),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_HDL_FC_by_CE,XL-HDL-FC/CE (HDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_HDL_PL,XL-HDL-PL (HDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_HDL_PL_pct,XL-HDL-PL % (HDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_HDL_TG_pct,XL-HDL-TG % (HDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_VLDL_C,XL-VLDL-C (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_VLDL_FC_by_CE,XL-VLDL-FC/CE (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_VLDL_FC_pct,XL-VLDL-FC % (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XL_VLDL_TG_pct,XL-VLDL-TG % (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XS_VLDL_FC_pct,XS-VLDL-FC % (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XS_VLDL_FC_pct_C,XS-VLDL-FC %-C (Cholesterol),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XS_VLDL_PL_pct,XS-VLDL-PL % (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
XXL_VLDL_FC_pct,XXL-VLDL-FC % (VLDL subclasses),continuous,Plasma metabolome (Nightingale NMR),,MWAS
pheno_2w_strict,Primary outcome: self-reported loss or change of taste lasting at least two weeks or affecting daily life,binary,Primary outcome,"28615, 28616, 28617",Outcome
a1bg,Alpha-1B-glycoprotein (Alpha-1-B glycoprotein),continuous,Plasma proteome (Olink),A1BG,PWAS
apcs,Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)],continuous,Plasma proteome (Olink),APCS,PWAS
ccl19,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),continuous,Plasma proteome (Olink),CCL19,PWAS
ces1,Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH),continuous,Plasma proteome (Olink),CES1,PWAS
cfb,Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba (Ba); Complement factor B Bb (Bb)],continuous,Plasma proteome (Olink),CFB,PWAS
cntn5,Contactin-5 (Neural recognition molecule NB-2) (hNB-2),continuous,Plasma proteome (Olink),CNTN5,PWAS
ctsd,Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain],continuous,Plasma proteome (Olink),CTSD,PWAS
enpp6,Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6),continuous,Plasma proteome (Olink),ENPP6,PWAS
f9,Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain],continuous,Plasma proteome (Olink),F9,PWAS
igsf9,Protein turtle homolog A (Immunoglobulin superfamily member 9A) (IgSF9A),continuous,Plasma proteome (Olink),IGSF9,PWAS
inhbc,Inhibin beta C chain (Activin beta-C chain),continuous,Plasma proteome (Olink),INHBC,PWAS
lep,Leptin (Obese protein) (Obesity factor),continuous,Plasma proteome (Olink),LEP,PWAS
orm1,Alpha-1-acid glycoprotein 1 (AGP 1) (Orosomucoid-1) (OMD 1),continuous,Plasma proteome (Olink),ORM1,PWAS
oxt,Oxytocin-neurophysin 1 (OT-NPI) [Cleaved into: Oxytocin (Ocytocin); Neurophysin 1],continuous,Plasma proteome (Olink),OXT,PWAS
palm2,PALM2-AKAP2 fusion protein (A-kinase anchor protein 2) (AKAP-2) (AKAP-KL) (Paralemmin A kinase anchor protein) (Paralemmin-2) (Protein kinase A-anchoring protein 2) (PRKA2),continuous,Plasma proteome (Olink),PALM2,PWAS
pon3,Serum paraoxonase/lactonase 3 (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1),continuous,Plasma proteome (Olink),PON3,PWAS
wfikkn2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 (Growth and differentiation factor-associated serum protein 1) (GASP-1) (hGASP-1) (WAP, follistatin, immunoglobulin, Kunitz and NTR domain-containing-related protein) (WFIKKN-related protein)",continuous,Plasma proteome (Olink),WFIKKN2,PWAS
